epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3696,0.96011,2.6038,4.80936,1.28039,0,0.00826,0.15688,0.00795,0.00577,0.00817,0.15493,0.00813,0.00565,0.93355,2.13555,4.40396,1.31305,0,3.09006e-05,3.09006e-05,3.09006e-05
2,165.973,0.90824,2.03156,3.99808,1.26881,0,0.55609,0.06313,0.03633,0.02733,0.55755,0.06166,0.03711,0.02699,0.97187,1.93525,3.71892,1.3473,0,5.78152e-05,5.78152e-05,5.78152e-05
3,245.357,0.91172,1.88537,3.46003,1.27046,0,0.51643,0.10073,0.06326,0.04856,0.51872,0.1016,0.06452,0.04746,0.95133,1.85843,3.37443,1.32568,0,8.06378e-05,8.06378e-05,8.06378e-05
4,326.671,0.88758,1.83814,3.12916,1.25397,0,0.50172,0.12418,0.08598,0.06607,0.52322,0.12364,0.08795,0.06456,0.9157,1.79889,3.07459,1.29298,0,7.4586e-05,7.4586e-05,7.4586e-05
5,407.34,0.84815,1.78671,2.90604,1.22845,0,0.545,0.12593,0.09786,0.07616,0.54746,0.12486,0.09915,0.07384,0.89153,1.77352,2.94313,1.26473,0,6.8448e-05,6.8448e-05,6.8448e-05
6,504.401,0.85424,1.77344,2.88318,1.25769,0,0.49566,0.15282,0.11533,0.08931,0.49486,0.15253,0.11606,0.08639,0.85301,1.73742,2.77225,1.22356,0,6.231e-05,6.231e-05,6.231e-05
7,583.88,0.82976,1.69295,2.75379,1.23425,0,0.52584,0.15947,0.12795,0.10017,0.52512,0.15859,0.12826,0.09668,0.83791,1.70078,2.68582,1.20901,0,5.6172e-05,5.6172e-05,5.6172e-05
8,663.46,0.81228,1.66957,2.68983,1.21967,0,0.52475,0.16743,0.13308,0.10453,0.52618,0.16795,0.13424,0.10121,0.83423,1.69138,2.62604,1.20596,0,5.0034e-05,5.0034e-05,5.0034e-05
9,744.62,0.80545,1.64645,2.64472,1.21022,0,0.50392,0.17031,0.13763,0.10842,0.50554,0.17035,0.13903,0.10496,0.8268,1.67152,2.59351,1.19214,0,4.3896e-05,4.3896e-05,4.3896e-05
10,827.48,0.79902,1.61973,2.59161,1.20554,0,0.49844,0.17706,0.14644,0.11562,0.5001,0.17658,0.14745,0.11183,0.81923,1.66655,2.55546,1.19333,0,3.7758e-05,3.7758e-05,3.7758e-05
11,910.375,0.783,1.60466,2.55989,1.19363,0,0.50102,0.18259,0.15229,0.12104,0.50117,0.18409,0.15402,0.11654,0.80967,1.63785,2.52087,1.17674,0,3.162e-05,3.162e-05,3.162e-05
12,994.444,0.7772,1.58872,2.50898,1.18192,0,0.48023,0.18589,0.15578,0.1242,0.47096,0.18834,0.15736,0.11927,0.80445,1.63591,2.49013,1.17072,0,2.5482e-05,2.5482e-05,2.5482e-05
13,1478.32,0.76899,1.57542,2.48924,1.1753,0,0.47559,0.19787,0.15789,0.12647,0.47625,0.19966,0.1592,0.12135,0.8022,1.6276,2.48547,1.17109,0,1.9344e-05,1.9344e-05,1.9344e-05
14,1559.38,0.76835,1.55564,2.46528,1.17223,0,0.46823,0.19607,0.16026,0.12793,0.46982,0.1963,0.16186,0.12261,0.80128,1.62941,2.46504,1.16952,0,1.3206e-05,1.3206e-05,1.3206e-05
15,1641.31,0.76184,1.54587,2.45068,1.17355,0,0.46797,0.19663,0.1619,0.12971,0.46788,0.19748,0.16315,0.12403,0.79973,1.62441,2.46581,1.16948,0,7.068e-06,7.068e-06,7.068e-06
